HONAP;azitromicin;COVID-eset;inosin_pranobex
202003;106297.4293;492;15929.46
202004;33019.998;2283;6231.6
202005;18180.99733;1101;4207.6
202006;20028.69467;279;4603.8
202007;28285.696;350;0
202008;27698.36533;1634;4817.54
202009;54573.92834;20322;0
202010;61136.06333;48860;0
202011;102836.8973;141801;11143.32
202012;86133.66133;105392;0
202101;57238.264;45072;7308.22
202102;77697.064;61013;8080.02
202103;152762.164;223834;11503.2
202104;83398.73;126915;6882.6
202105;44108.23133;25190;5356.6
202106;45765.90056;3590;0
202107;37266.764;1363;4621.18
202108;50526.56633;2846;5359.2
202109;126621.0653;10368;9123
202110;152447.9333;40714;9436.84
202111;208831.794;239689;12688.18
202112;147244.9313;153307;10203.38
202201;181332.3653;296990;13989.98
202202;173484.4477;234139;13661.54
202203;167333.647;64327;12266.28
202204;120494.764;49146;9095.08
202205;89823.80445;16760;7860.6
202206;69069.14089;10348;6158.08
202207;87504.96767;37356;8079.02
